code_dept,nb_etablissements,annee,unite,NA17_label,UNIT
01,18607.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,679.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,444.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,0.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,145.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,53.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,1239.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,195.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,2427.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,3619.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,581.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,1457.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,182.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,833.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,335.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,2176.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,2437.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,1805.0,2018,Nombre d'établissements,Activité économique en 17 postes (NA - A17),NBET
01,186323.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,1695.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,5037.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,0.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,6286.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,4484.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,24330.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,4451.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,13308.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,27598.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,11127.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,6763.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,1207.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
01,3636.0,2018,Postes salariés dans les établissements,Activité économique en 17 postes (NA - A17),NBSALET
