code_dept,nb_logements,annee,unite,STOCD_label,UNIT
01,274538.375368,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,171307.121971,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,54028.486208,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,39004.585669,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,5205.88373,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,4992.29779,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
01,634390.746502,2018,Population,Statut d'occupation du logement,POP
01,416790.823221,2018,Population,Statut d'occupation du logement,POP
01,109775.784792,2018,Population,Statut d'occupation du logement,POP
01,89353.238998,2018,Population,Statut d'occupation du logement,POP
01,8443.790311,2018,Population,Statut d'occupation du logement,POP
01,10027.109179,2018,Population,Statut d'occupation du logement,POP
01,4051523.223507,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
01,3270256.500354,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
01,312603.734143,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
01,386411.867726,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
01,22387.481924,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
01,59863.639361,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,231215.055899,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,142464.13807,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,45269.805911,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,36716.052539,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,2700.428281,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,4064.631098,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
02,522698.34067,2018,Population,Statut d'occupation du logement,POP
02,330403.183893,2018,Population,Statut d'occupation du logement,POP
02,101103.59288,2018,Population,Statut d'occupation du logement,POP
02,78869.43707,2018,Population,Statut d'occupation du logement,POP
02,4112.127977,2018,Population,Statut d'occupation du logement,POP
02,8209.99885,2018,Population,Statut d'occupation du logement,POP
02,4070482.844802,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,3276264.80701,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,321007.013451,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,399569.997229,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,14290.044239,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
02,59350.982873,2018,Nombre d'heures annuelles travaillées,Statut d'occupation du logement,DUREE
03,162853.779701,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,105802.525648,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,34395.916664,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,16458.206912,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,2899.508443,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,3297.622034,2018,Nombre de logements,Statut d'occupation du logement,NBLOG
03,326606.968718,2018,Population,Statut d'occupation du logement,POP
03,223177.404695,2018,Population,Statut d'occupation du logement,POP
03,61033.001928,2018,Population,Statut d'occupation du logement,POP
03,32756.859125,2018,Population,Statut d'occupation du logement,POP
